#RA        DEC       MAG_G     MAG_I     ANGSEP    RPROJ     SNR       VTRUE     VSTAT     VSYS      VMEAS     VMEASERR  VSYSERR   VERR     
54.15639  -54.17467 19.44846  18.85149  0.19729   0.26170   22.67249  49.95683  -0.15724  -1.22696  48.57262  0.74714   1.50000   1.67577  
53.84247  -54.20372 19.83761  19.27486  0.22369   0.29671   16.42277  57.64457  -2.26254  -1.73239  53.64964  1.10018   1.50000   1.86021  
54.03077  -53.87306 17.41938  16.42857  0.12823   0.17009   100.19584 49.15316  0.07269   2.01305   51.23889  0.12560   1.50000   1.50525  
54.02536  -54.00527 19.88807  19.92723  0.01581   0.02097   9.51311   59.18520  -0.66243  1.78988   60.31265  2.11842   1.50000   2.59571  
54.20280  -53.94859 20.94610  20.45875  0.12988   0.17229   5.97347   56.92652  3.17138   -1.15755  58.94036  3.70278   1.50000   3.99507  
54.03640  -53.62515 19.29733  18.68436  0.37547   0.49805   25.64840  45.31567  0.37182   -1.10911  44.57839  0.64436   1.50000   1.63254  
53.78619  -54.17823 19.96430  19.71495  0.21792   0.28906   11.47900  56.41196  -1.50074  0.58326   55.49448  1.69089   1.50000   2.26033  
53.92746  -53.76919 20.89420  20.40426  0.23474   0.31137   6.31388   61.81662  2.13524   -2.33602  61.61584  3.46453   1.50000   3.77531  
54.10403  -53.97468 19.90762  19.35037  0.06620   0.08781   15.43229  59.94742  -2.14430  1.87868   59.68180  1.18545   1.50000   1.91188  
53.28369  -54.64980 20.33787  19.81320  0.77249   1.02473   10.56914  73.96097  1.71022   -1.53242  74.13876  1.86704   1.50000   2.39496  
54.25621  -53.47601 19.32465  18.71430  0.54546   0.72355   25.11535  55.68157  0.61155   0.69203   56.98515  0.66080   1.50000   1.63910  
53.72655  -54.23295 19.92512  19.81658  0.28276   0.37507   10.53780  51.85935  0.71737   0.63615   53.21287  1.87370   1.50000   2.40016  
54.12066  -54.23061 21.14433  20.66814  0.24121   0.31996   5.03429   56.49126  0.37281   1.34080   58.20487  4.54647   1.50000   4.78752  
53.99849  -53.82413 19.92535  19.81609  0.17587   0.23328   10.54234  64.05864  -2.01263  -1.06807  60.97794  1.87273   1.50000   2.39940  
53.11951  -54.07445 19.94235  19.78314  0.52241   0.69296   10.84750  47.68998  0.91002   1.73316   50.33316  1.80969   1.50000   2.35053  
53.83096  -53.98825 19.89424  19.93089  0.10007   0.13273   9.47921   65.79217  2.60825   -1.02717  67.37325  2.12752   1.50000   2.60314  
54.52715  -54.06248 20.89585  20.40598  0.31586   0.41898   6.30308   68.55550  0.45187   2.52578   71.53315  3.47166   1.50000   3.78185  
53.45518  -53.92983 20.22427  19.69205  0.32810   0.43521   11.69108  64.69612  -2.27921  0.63661   63.05353  1.65415   1.50000   2.23298  
54.08499  -53.98524 19.88807  19.92847  0.05210   0.06911   9.50166   58.24360  0.09464   -0.29234  58.04589  2.12149   1.50000   2.59821  
54.01853  -53.98090 19.89063  19.93350  0.02199   0.02917   9.45503   69.95906  4.51591   -1.96524  72.50973  2.13405   1.50000   2.60848  
54.13990  -53.94041 19.30655  18.69555  0.10160   0.13477   25.44914  57.50963  0.14235   -1.50302  56.14895  0.65042   1.50000   1.63494  
53.20141  -53.68468 19.94066  19.38601  0.56694   0.75205   14.96489  58.47217  -1.29928  0.79411   57.96700  1.23002   1.50000   1.93983  
51.65248  -54.96988 20.85057  20.35834  1.67329   2.22017   6.60072   62.70783  -2.00095  0.83830   61.54518  3.28466   1.50000   3.61095  
54.39040  -53.93854 20.86745  20.37615  0.23772   0.31533   6.48947   67.16988  -0.21625  2.74673   69.70036  3.35234   1.50000   3.67263  
53.86219  -53.78857 19.93388  19.59768  0.22649   0.30043   12.56495  50.42220  0.89333   1.48358   52.79912  1.51707   1.50000   2.13343  
53.95627  -53.96812 17.83649  16.97674  0.04096   0.05433   74.93448  57.19238  0.02024   -0.60861  56.60401  0.17798   1.50000   1.51052  
53.60724  -54.08603 20.04458  19.49820  0.24615   0.32650   13.49317  72.70063  0.21417   0.82588   73.74068  1.39272   1.50000   2.04687  
54.26666  -54.17855 20.92307  20.43457  0.23737   0.31486   6.12453   51.97891  0.86280   0.31308   53.15480  3.59346   1.50000   3.89396  
53.76402  -54.41070 20.69384  20.19235  0.43327   0.57473   7.63764   57.34364  -2.05511  -1.86522  53.42330  2.75708   1.50000   3.13871  
53.11929  -55.63465 19.89845  19.92748  1.71157   2.27098   9.51085   45.54780  -1.88550  0.92380   44.58611  2.11903   1.50000   2.59621  
53.63237  -53.88695 19.91385  19.84073  0.24414   0.32384   10.31418  55.67439  -0.97251  3.64792   58.34980  1.92255   1.50000   2.43849  
53.67645  -54.02109 19.92671  19.81320  0.19130   0.25374   10.56914  61.95395  -1.58157  -0.64309  59.72929  1.86703   1.50000   2.39496  
53.97392  -53.99651 19.95192  19.75952  0.01572   0.02085   11.06623  50.68989  -3.18152  -0.49342  47.01495  1.76685   1.50000   2.31771  
54.02607  -54.33623 19.91189  19.84563  0.33658   0.44646   10.26884  67.76415  -3.43537  0.96362   65.29239  1.93274   1.50000   2.44653  
54.03590  -53.94476 20.56691  20.05811  0.05914   0.07844   8.47625   40.51075  1.32136   0.83076   42.66286  2.43307   1.50000   2.85829  
54.11074  -54.15881 17.25906  16.20494  0.17158   0.22760   112.22397 58.69250  0.00641   1.84825   60.54715  0.10962   1.50000   1.50400  
53.56831  -53.95560 20.61400  20.10776  0.25773   0.34187   8.16604   59.58625  -2.95956  1.34566   57.97235  2.54440   1.50000   2.95364  
54.06909  -53.98681 19.96055  19.65552  0.04270   0.05664   12.02934  60.41999  0.37008   0.82970   61.61977  1.59849   1.50000   2.19207  
53.96111  -53.92257 19.88807  19.93072  0.08074   0.10710   9.48082   53.90183  -3.47704  -0.35891  50.06588  2.12709   1.50000   2.60279  
54.07386  -54.04022 19.90836  19.92572  0.05916   0.07848   9.52709   71.34387  -4.98043  -1.13277  65.23067  2.11469   1.50000   2.59267  
53.66526  -54.02566 19.34956  18.74162  0.19836   0.26311   24.62886  58.88667  0.06008   2.05224   60.99899  0.67650   1.50000   1.64549  
54.19978  -53.78508 20.69587  20.19452  0.24505   0.32505   7.62409   58.18369  -4.50025  0.93324   54.61668  2.76296   1.50000   3.14387  
54.62287  -53.48976 19.78062  19.21341  0.62930   0.83477   17.22890  41.02414  1.21151   -3.41372  38.82193  1.03870   1.50000   1.82453  
53.68790  -53.98967 19.25580  18.63933  0.18376   0.24375   26.45023  68.97732  0.66878   1.64541   71.29151  0.62099   1.50000   1.62346  
54.02908  -53.79604 19.88807  19.93000  0.20468   0.27150   9.48746   72.50384  0.35404   -1.22477  71.63311  2.12530   1.50000   2.60133  
54.34727  -54.11933 20.89619  20.40634  0.23619   0.31329   6.30083   52.71090  0.17938   -0.08245  52.80782  3.47315   1.50000   3.78322  
54.00155  -53.76875 18.81767  18.20673  0.23125   0.30674   35.77490  54.56658  -0.16806  -2.30018  52.09833  0.43222   1.50000   1.56103  
54.04447  -53.91851 19.95235  19.75822  0.08558   0.11352   11.07831  56.24014  -1.64879  -2.52347  52.06787  1.76454   1.50000   2.31595  
54.42615  -54.15686 20.14657  19.60826  0.29514   0.39150   12.46702  61.88168  1.02248   2.02378   64.92794  1.53139   1.50000   2.14363  
54.06363  -53.97306 19.88807  19.92956  0.04610   0.06115   9.49159   70.34731  -2.93486  -0.42592  66.98652  2.12419   1.50000   2.60042  
54.09196  -53.83507 19.90432  19.92407  0.17359   0.23026   9.54242   77.91249  -0.54540  0.61998   77.98707  2.11062   1.50000   2.58935  
53.92001  -53.74275 20.61474  20.10854  0.26154   0.34693   8.16120   50.01612  1.28089   -1.52073  49.77628  2.54622   1.50000   2.95520  
53.80248  -54.08295 19.89105  19.90720  0.14259   0.18914   9.69863   47.93470  -0.16837  -0.52355  47.24278  2.06989   1.50000   2.55626  
53.55831  -54.03849 20.59223  20.08480  0.26234   0.34798   8.30947   60.32775  1.97792   2.55064   64.85631  2.49179   1.50000   2.90844  
54.15284  -55.15797 18.12261  17.33078  1.16136   1.54069   61.68964  59.97014  -0.00899  2.14115   62.10230  0.22477   1.50000   1.51675  
54.12178  -53.97547 20.57808  20.06988  0.07568   0.10039   8.40269   64.85296  0.44729   0.61616   65.91641  2.45866   1.50000   2.88010  
53.57359  -54.05253 19.94913  19.76788  0.25593   0.33948   10.98882  55.18013  -0.17222  0.80983   55.81773  1.78180   1.50000   2.32912  
53.34469  -53.55206 19.88815  19.92666  0.59212   0.78545   9.51842   65.12092  1.72104   -1.00780  65.83416  2.11701   1.50000   2.59456  
53.85845  -53.98300 21.14514  20.66899  0.08493   0.11266   5.03086   64.34458  5.88784   1.20097   71.43338  4.55018   1.50000   4.79105  
54.67382  -53.66787 19.59937  19.01708  0.51809   0.68724   19.80418  57.31284  -0.15329  1.42784   58.58740  0.87880   1.50000   1.73848  
53.76969  -54.11824 20.18127  19.64568  0.17959   0.23822   12.12050  57.68636  -1.32060  2.00501   58.37077  1.58407   1.50000   2.18158  
53.92836  -53.95855 19.96782  19.41568  0.05911   0.07840   14.57565  63.13563  -0.54944  -1.39052  61.19566  1.26954   1.50000   1.96513  
51.51879  -53.73572 19.12716  18.49585  1.48664   1.97239   29.02778  69.45587  0.55524   0.65990   70.67102  0.55542   1.50000   1.59953  
54.17852  -53.85188 19.89751  19.92810  0.18163   0.24093   9.50504   69.01737  -1.99034  1.79698   68.82401  2.12058   1.50000   2.59747  
54.10604  -53.47203 19.63524  19.05673  0.53169   0.70528   19.28409  64.06844  -1.08238  -1.91698  61.06908  0.90732   1.50000   1.75306  
54.74095  -53.88261 20.75189  20.25417  0.45166   0.59911   7.25145   59.06986  0.85916   0.70941   60.63844  2.93420   1.50000   3.29538  
54.18928  -54.02280 19.89267  19.90174  0.11354   0.15061   9.74920   66.08630  -0.93143  0.15263   65.30749  2.05701   1.50000   2.54584  
53.71332  -53.76494 19.90275  19.86543  0.28950   0.38401   10.08546  57.81595  1.23497   -1.41597  57.63495  1.97499   1.50000   2.48004  
54.20583  -54.08986 19.96361  19.68653  0.15060   0.19977   11.74216  66.53710  1.22007   2.20964   69.96682  1.64552   1.50000   2.22660  
54.28147  -54.10981 19.96423  19.69268  0.19839   0.26315   11.68519  65.05037  -4.31033  -1.60534  59.13469  1.65515   1.50000   2.23372  
54.28776  -53.97064 19.88843  19.92524  0.17173   0.22779   9.53152   65.09712  0.54658   0.32590   65.96960  2.11351   1.50000   2.59171  
54.19326  -53.96227 20.90184  20.41228  0.11975   0.15884   6.26375   38.43068  1.51770   1.58982   41.53819  3.49783   1.50000   3.80589  
53.97209  -53.91739 19.91170  19.84603  0.08423   0.11172   10.26509  51.42952  1.07016   -0.58284  51.91683  1.93359   1.50000   2.44720  
54.18506  -54.00129 19.89619  19.88786  0.10878   0.14430   9.87769   44.20480  -3.49490  -2.32574  38.38416  2.02495   1.50000   2.52000  
54.08769  -53.98252 19.89793  19.33991  0.05444   0.07221   15.56949  72.22467  -0.22570  -0.83618  71.16278  1.17293   1.50000   1.90414  
54.13776  -53.68799 20.01376  19.46500  0.32242   0.42768   13.92873  55.16667  0.89892   2.82836   58.89395  1.34062   1.50000   2.01178  
53.92046  -53.85684 19.91255  19.84419  0.15063   0.19980   10.28216  62.01334  0.79408   0.16922   62.97663  1.92974   1.50000   2.44416  
52.60562  -53.84080 19.90938  19.85106  0.83644   1.10957   10.21854  59.03250  0.16002   0.42657   59.61908  1.94417   1.50000   2.45556  
54.50836  -53.90211 19.88807  19.92712  0.31477   0.41753   9.51414   60.19130  0.81962   1.43482   62.44574  2.11815   1.50000   2.59549  
54.29073  -53.86607 17.92410  17.12978  0.21733   0.28828   69.10282  57.33754  -0.04884  -0.62180  56.66690  0.19616   1.50000   1.51277  
54.13435  -54.07596 20.64459  20.14002  0.10952   0.14528   7.96456   64.10929  0.62660   -1.50768  63.22820  2.62184   1.50000   3.02060  
54.10738  -54.00623 18.79261  18.11740  0.06342   0.08412   37.85960  63.86866  -0.82746  -0.62820  62.41300  0.40382   1.50000   1.55341  
53.97017  -54.12998 18.70850  18.02127  0.13116   0.17397   40.10279  43.24658  -0.34433  -0.35639  42.54586  0.37687   1.50000   1.54662  
54.11088  -53.94998 19.94872  19.76911  0.08219   0.10902   10.97745  68.02416  0.21879   0.77862   69.02156  1.78401   1.50000   2.33082  
53.95946  -53.77367 19.90557  19.85932  0.22759   0.30188   10.14199  79.82970  -1.99246  1.02637   78.86361  1.96179   1.50000   2.46954  
53.85362  -53.97067 20.34343  19.81913  0.09093   0.12062   10.51420  51.73450  -0.96313  0.09185   50.86322  1.87875   1.50000   2.40410  
53.93450  -53.98587 19.50951  18.91821  0.04102   0.05441   21.48460  82.14305  1.48772   -2.24680  81.38397  0.79698   1.50000   1.69858  
54.40487  -53.89119 19.92131  19.36514  0.26196   0.34747   15.23864  48.91331  0.73824   -3.74822  45.90333  1.20355   1.50000   1.92316  
53.49586  -54.62612 19.97201  19.42018  0.69175   0.91761   14.51656  51.26448  -0.61746  -1.59139  49.05563  1.27574   1.50000   1.96914  
53.95181  -54.06587 18.47221  17.79936  0.07170   0.09510   46.55588  55.51513  -0.11251  -3.81110  51.59152  0.31509   1.50000   1.53274  
54.04577  -53.88578 19.88807  19.93160  0.11735   0.15566   9.47267   57.28650  1.92715   -1.13627  58.07738  2.12928   1.50000   2.60458  
54.01584  -53.39808 18.32775  17.62542  0.60199   0.79854   51.71942  66.12934  0.41353   2.10295   68.64582  0.27773   1.50000   1.52549  
53.81401  -53.84490 18.45837  17.73174  0.18988   0.25186   48.56317  68.46961  0.50161   -0.35692  68.61430  0.29952   1.50000   1.52961  
54.50638  -54.12332 19.94744  19.77240  0.32177   0.42682   10.94697  54.23509  -0.82791  -3.51424  49.89294  1.78998   1.50000   2.33538  
53.71080  -53.57107 19.90239  19.92463  0.46170   0.61244   9.53722   49.65223  -3.60925  0.71948   46.76246  2.11200   1.50000   2.59047  
54.11328  -54.04311 19.34301  18.73443  0.07929   0.10517   24.75689  68.26545  -0.24370  -0.57235  67.44941  0.67230   1.50000   1.64377  
54.08800  -53.99778 19.89742  19.88274  0.05178   0.06868   9.92510   77.11544  0.17109   1.53626   78.82280  2.01334   1.50000   2.51069  
54.00168  -54.12483 19.95748  19.74340  0.12483   0.16558   11.21557  65.66245  0.83432   -1.47909  65.01768  1.73866   1.50000   2.29629  
53.93760  -53.90495 21.08206  20.60272  0.10190   0.13516   5.29944   56.66442  3.75149   -2.18964  58.22627  4.27488   1.50000   4.53041  
54.00923  -54.11146 19.92807  19.81031  0.11159   0.14802   10.59587  51.97581  -0.41043  -0.99996  50.56543  1.86139   1.50000   2.39056  
54.05147  -54.12395 19.89770  19.88168  0.12758   0.16923   9.93494   60.84479  3.94690   0.26426   65.05595  2.01095   1.50000   2.50877  
54.16555  -54.08690 18.90503  18.30870  0.13039   0.17295   33.39541  65.04266  -0.32127  2.74936   67.47075  0.46944   1.50000   1.57174  
53.17376  -53.73282 20.07526  19.53131  0.55565   0.73707   13.17960  56.86916  -2.18561  4.17546   58.85901  1.43257   1.50000   2.07419  
54.08424  -54.13388 19.64053  19.06257  0.14271   0.18930   19.20752  60.04489  0.27164   1.62370   61.94023  0.91166   1.50000   1.75531  
53.96753  -54.00358 19.60300  19.12769  0.01942   0.02575   18.35326  61.03288  0.59640   -0.83636  60.79292  0.96282   1.50000   1.78242  
54.21938  -53.51585 21.00686  20.52274  0.50122   0.66486   5.62361   52.20850  -6.67153  -1.84830  43.68866  3.98090   1.50000   4.25413  
54.48949  -53.90921 19.89243  19.90252  0.30200   0.40059   9.74196   67.54717  1.47050   3.86762   72.88529  2.05885   1.50000   2.54732  
54.24309  -53.41646 21.13916  20.66274  0.60102   0.79725   5.05618   52.81423  -8.11579  0.97481   45.67325  4.52285   1.50000   4.76510  
53.97756  -53.96338 19.88943  19.91987  0.03892   0.05163   9.58127   63.67171  -2.62809  0.28739   61.33101  2.10035   1.50000   2.58099  
54.12194  -53.86852 19.89388  19.93116  0.14980   0.19871   9.47672   49.28530  -0.63546  -0.57660  48.07323  2.12819   1.50000   2.60369  
53.87208  -53.87211 19.91781  19.83212  0.14841   0.19686   10.39393  51.94983  -2.24138  0.08739   49.79584  1.90487   1.50000   2.42456  
53.94011  -54.29409 19.95157  19.76056  0.29618   0.39287   11.05657  57.53072  0.02715   -2.75443  54.80345  1.76871   1.50000   2.31912  
53.97177  -54.01465 19.90480  19.92407  0.02214   0.02936   9.54242   50.77771  3.55555   -0.33199  54.00126  2.11062   1.50000   2.58935  
54.08257  -53.89735 20.72423  20.22471  0.11357   0.15065   7.43549   69.95704  -0.99284  -4.90758  64.05662  2.84727   1.50000   3.21822  
53.69678  -54.06370 18.62787  17.98450  0.18914   0.25088   41.05941  62.12249  0.37055   0.88917   63.38221  0.36636   1.50000   1.54409  
53.67736  -53.88491 18.15284  17.41349  0.22206   0.29455   58.63940  54.18421  -0.29522  0.15382   54.04281  0.23888   1.50000   1.51890  
54.00330  -54.13161 19.89342  19.93139  0.13163   0.17460   9.47459   63.31510  -0.27638  -2.55845  60.48027  2.12877   1.50000   2.60416  
53.35503  -54.28444 19.95415  19.75284  0.47291   0.62730   11.12807  53.98638  0.02323   -2.70618  51.30343  1.75508   1.50000   2.30874  
54.58946  -53.80179 20.91186  20.42280  0.39988   0.53043   6.19803   65.51178  0.26090   -1.15905  64.61363  3.54238   1.50000   3.84688  
53.24843  -54.54580 18.60791  17.96122  0.70035   0.92902   41.75069  52.46362  -0.00913  1.69363   54.14812  0.35909   1.50000   1.54238  
54.19777  -54.02061 19.89938  19.92676  0.11803   0.15657   9.51751   47.33536  3.88544   -0.62863  50.59216  2.11725   1.50000   2.59475  
53.45874  -54.34771 19.96502  19.70186  0.47039   0.62397   11.60021  60.56178  1.30439   -0.95745  60.90871  1.66971   1.50000   2.24453  
54.16297  -53.88021 19.96382  19.68854  0.15347   0.20357   11.72357  73.21732  1.47667   -0.31677  74.37723  1.64865   1.50000   2.22891  
53.93458  -54.01568 19.92583  19.81507  0.04152   0.05508   10.55178  78.82753  -1.99504  -1.92913  74.90336  1.87072   1.50000   2.39783  
54.15415  -53.69690 19.88914  19.92165  0.31645   0.41976   9.56481   53.55535  1.19634   0.50247   55.25416  2.10469   1.50000   2.58452  
54.10513  -53.93905 20.86912  20.37790  0.08683   0.11517   6.47852   49.92350  4.19260   1.42520   55.54130  3.35915   1.50000   3.67884  
54.09027  -53.96438 20.49600  19.98240  0.06392   0.08479   9.00223   63.89057  4.74228   0.88321   69.51606  2.26350   1.50000   2.71540  
54.26100  -53.93947 21.02513  20.54217  0.16502   0.21890   5.54484   60.31403  1.50756   -0.04814  61.77345  4.04886   1.50000   4.31779  
53.89066  -54.14880 19.32782  18.71777  0.16204   0.21494   25.05346  56.62359  0.34797   -0.47538  56.49617  0.66276   1.50000   1.63990  
53.46447  -53.96234 20.48808  19.97390  0.31716   0.42070   9.08091   58.05205  0.80751   0.84701   59.70656  2.23998   1.50000   2.69583  
54.10268  -53.89556 20.33785  19.81317  0.12066   0.16006   10.56941  51.92125  -0.26744  2.01043   53.66424  1.86698   1.50000   2.39491  
53.94941  -54.23414 20.78329  20.28739  0.23601   0.31306   7.04393   63.95067  3.57850   0.25494   67.78411  3.03824   1.50000   3.38835  
54.19723  -54.09354 18.34622  17.64789  0.14886   0.19745   51.05243  48.30468  0.44601   0.89324   49.64394  0.28209   1.50000   1.52629  
53.74265  -54.31156 20.34064  19.81616  0.34609   0.45908   10.54173  56.07173  -4.49737  0.81769   52.39205  1.87286   1.50000   2.39950  
53.85471  -53.96784 19.89105  19.90721  0.09129   0.12109   9.69855   54.32792  -0.21455  0.90487   55.01825  2.06991   1.50000   2.55627  
54.10196  -54.44028 19.32575  18.71550  0.44430   0.58935   25.09386  63.90504  0.54941   0.20115   64.65560  0.66148   1.50000   1.63938  
53.85509  -54.08775 19.89777  19.92794  0.12223   0.16213   9.50660   65.80596  0.53504   1.59791   67.93891  2.12016   1.50000   2.59713  
54.02791  -53.92442 18.88313  18.28314  0.07734   0.10259   33.99173  53.24677  0.85693   0.88119   54.98488  0.45957   1.50000   1.56882  
54.26471  -53.83218 19.90191  19.92479  0.22906   0.30384   9.53575   44.73378  -0.98442  3.05272   46.80208  2.11239   1.50000   2.59079  
54.01983  -54.30397 21.04194  20.56005  0.30419   0.40349   5.47238   53.47735  -3.16986  -0.14168  50.16581  4.11329   1.50000   4.37826  
54.66809  -54.50302 18.39081  17.65231  0.63669   0.84457   50.92141  74.66052  0.08137   1.07176   75.81365  0.28296   1.50000   1.52645  
54.02736  -54.03953 19.85880  19.29772  0.04267   0.05661   16.12293  53.38056  1.46972   -1.60295  53.24732  1.12478   1.50000   1.87487  
53.62978  -53.88509 19.25479  18.63820  0.24635   0.32678   26.47032  53.07920  0.98574   -2.40442  51.66052  0.62042   1.50000   1.62325  
53.92790  -54.00322 20.97113  20.48503  0.04250   0.05637   5.80929   76.09324  -1.25006  1.08336   75.92653  3.82871   1.50000   4.11205  
53.50081  -53.63871 18.59753  17.94911  0.46623   0.61844   42.10999  57.46545  0.38861   0.57749   58.43155  0.35542   1.50000   1.54153  
54.09472  -54.05728 17.55769  16.61528  0.07985   0.10592   91.17432  41.59821  -0.05627  -0.65365  40.88829  0.14065   1.50000   1.50658  
54.43314  -53.87122 20.93782  20.45006  0.28566   0.37891   6.02773   66.70381  3.70326   0.87159   71.27865  3.66282   1.50000   3.95806  
54.05906  -53.93028 19.92810  19.81025  0.07790   0.10333   10.59644  62.32058  2.50124   1.15030   65.97211  1.86126   1.50000   2.39046  
54.08162  -54.09822 19.88862  19.92430  0.10929   0.14496   9.54027   51.98034  0.27120   2.00074   54.25228  2.11119   1.50000   2.58981  
54.23012  -53.89566 20.83812  20.34521  0.17096   0.22677   6.68272   53.22170  2.45886   -1.64983  54.03072  3.23635   1.50000   3.56707  
53.92490  -54.13269 20.50127  19.98806  0.13981   0.18546   8.94985   61.17405  -5.10306  -0.80266  55.26834  2.27940   1.50000   2.72868  
54.35682  -53.89837 21.00114  20.51665  0.23329   0.30945   5.64827   50.53975  -0.20336  2.72717   53.06356  3.96006   1.50000   4.23463  
54.16141  -53.92403 18.48075  17.75777  0.12161   0.16131   47.79050  62.59078  0.21757   -1.70994  61.09841  0.30534   1.50000   1.53076  
53.96677  -54.04882 17.71235  16.85606  0.05257   0.06974   80.35656  57.89017  -0.05906  -1.35353  56.47759  0.16367   1.50000   1.50890  
53.98727  -53.94623 20.42409  19.90528  0.05429   0.07201   9.71643   65.14242  0.19993   -1.91315  63.42920  2.06534   1.50000   2.55257  
54.26042  -53.95261 19.93838  19.60669  0.16032   0.21266   12.48152  53.78838  -2.16113  1.19429   52.82155  1.52925   1.50000   2.14210  
53.83033  -54.08903 20.31599  19.78987  0.13361   0.17722   10.78521  69.34804  2.08391   0.57609   72.00804  1.82224   1.50000   2.36020  
54.00700  -54.03775 19.89270  19.93175  0.03798   0.05037   9.47124   70.31973  -0.63106  -1.01873  68.66994  2.12967   1.50000   2.60490  
54.30850  -53.85058 19.91947  19.82858  0.23521   0.31200   10.42670  55.79460  1.34526   0.63063   57.77049  1.89768   1.50000   2.41893  
54.01346  -54.02850 20.80539  20.31070  0.02958   0.03924   6.89830   73.34833  -1.82236  -1.79539  69.73059  3.11537   1.50000   3.45768  
